,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
498,1.56,2.24,2.38,3.76,1.93,2.84,0.96,2.69,0.62,0.76,2016.64,XL Airways France
499,1.94,2.65,2.57,4.94,2.93,3.02,0.77,3.02,0.39,0.74,2017.64,Xiamen Airlines
500,0.0,3.0,3.0,5.5,3.0,3.0,1.0,3.0,0.0,0.0,2017.0,Yakutia Airlines
501,0.0,3.0,2.0,8.0,4.0,2.0,1.0,4.0,0.0,0.0,2017.0,Yangon Airways
502,0.0,1.2,2.8,4.4,2.6,2.8,0.8,3.0,0.0,0.0,2019.2,Yeti Airlines
503,0.72,1.39,2.0,3.75,2.28,2.61,0.89,2.44,1.53,0.33,2022.39,ZIPAIR
504,0.0,1.0,3.0,7.0,2.0,4.0,0.0,5.0,0.0,0.0,2022.0,Zambia Airways
505,0.3,1.43,2.23,3.77,2.63,2.7,0.8,2.32,0.22,0.24,2018.19,airBaltic
506,0.45,1.77,2.36,4.09,2.36,2.55,0.91,2.36,0.45,0.45,2019.59,airblue
507,0.25,1.7,2.1,3.08,2.58,2.75,0.48,2.0,0.15,0.12,2017.15,bmi Regional
508,0.19,1.17,2.3,4.29,2.45,2.81,0.89,2.74,0.15,0.15,2018.13,easyJet
509,1.33,2.0,1.67,2.13,1.4,1.93,0.93,1.47,0.67,0.87,2018.2,euroAtlantic Airways
510,0.27,1.03,2.15,3.7,2.55,2.48,0.88,2.27,0.15,0.21,2017.21,fastjet
511,0.21,0.68,1.26,1.89,1.26,1.32,0.74,1.74,0.21,0.21,2020.26,flyadeal
512,0.0,2.25,3.5,5.75,2.5,3.25,1.0,3.25,0.0,0.0,2022.0,flybe
513,1.0,1.38,1.86,3.07,2.09,2.27,0.84,2.09,0.54,0.6,2019.29,flydubai
