,ENTERTAINMENTRATING,FOODRATING,GROUNDSERVICERATING,OVERALLSCORE,SEATCOMFORTRATING,SERVICERATING,PURPOSE,VALUERATING,WIFIRATING,LONGDISTANCE,YEAR,AIRLINE
79,0.44,0.75,2.19,3.5,2.44,2.38,0.88,2.31,0.19,0.19,2017.31,Amaszonas
80,1.21,1.3,1.65,2.3,1.91,2.08,0.81,1.66,0.9,0.61,2019.01,American Airlines
81,0.47,1.6,2.24,3.4,2.32,2.73,0.73,2.18,0.68,0.33,2018.04,American Eagle
82,0.47,2.12,2.35,4.0,2.18,3.0,0.88,2.71,0.24,0.41,2020.0,AnadoluJet
83,0.0,0.0,0.75,1.0,0.5,0.5,1.0,1.0,0.0,0.0,2018.5,Andes Líneas Aéreas
84,0.0,3.0,3.0,6.0,3.0,4.0,1.0,5.0,0.0,0.0,2015.0,Ariana Afghan Airlines
85,0.83,1.3,1.35,1.96,1.96,2.04,0.43,1.52,0.3,0.57,2017.61,Arik Air
86,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2015.0,Arkefly
87,0.4,1.0,2.07,2.93,1.67,1.87,0.87,1.93,0.27,0.27,2018.53,Arkia Israeli Airlines
88,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2022.0,Armenia Air Company
89,2.81,3.67,3.84,7.24,3.72,4.1,0.8,3.96,0.67,0.85,2017.58,Asiana Airlines
90,1.2,4.4,4.6,9.0,4.6,4.8,1.0,4.2,0.4,0.6,2016.0,Atlantic Airways
91,0.41,2.52,2.22,4.74,2.67,2.63,0.89,2.85,0.11,0.24,2016.93,Atlasglobal
92,0.0,0.0,5.0,10.0,3.0,5.0,1.0,5.0,0.0,0.0,2020.0,Auric Air
93,0.06,1.61,2.44,4.17,2.78,3.22,0.94,2.61,0.0,0.06,2016.61,Aurigny Air
94,1.26,2.33,2.51,4.47,2.69,2.99,0.81,2.6,0.36,0.46,2018.52,Austrian Airlines
95,0.21,0.36,1.84,3.13,2.13,2.29,0.93,2.17,0.17,0.14,2022.51,Avelo Airlines
96,1.4,1.32,1.74,2.62,1.92,1.94,0.83,1.82,0.49,0.63,2019.74,Avianca
97,2.55,2.85,2.9,5.6,3.35,3.55,0.95,3.05,0.05,0.65,2017.15,Avianca Brazil
98,0.75,1.44,1.31,1.5,1.81,1.88,0.94,1.12,0.38,0.38,2020.19,Avianca Ecuador
99,0.75,1.5,1.25,2.5,3.0,2.5,0.75,2.5,0.75,0.75,2017.75,Avior Airlines
100,2.6,3.5,3.58,6.9,3.58,3.55,0.75,3.9,0.28,0.78,2017.18,Azerbaijan Airlines
101,2.16,2.23,2.49,4.74,2.86,3.0,0.84,2.58,0.63,0.67,2018.44,Azul Airlines
102,0.5,1.5,1.0,1.0,1.0,1.5,1.0,1.0,0.5,0.5,2018.0,Azur Air Germany
103,0.0,3.74,3.97,8.29,4.43,4.31,0.66,4.11,0.03,0.0,2017.49,BA CityFlyer
104,0.2,1.8,2.4,3.4,2.8,2.4,1.0,2.4,0.2,0.2,2018.8,BH Air
105,0.0,5.0,2.0,8.0,3.0,5.0,0.0,4.0,0.0,0.0,2017.0,Badr Airlines
106,0.38,0.78,1.62,2.62,2.05,1.9,0.92,1.48,0.38,0.25,2017.92,Bahamasair
107,1.09,2.24,2.41,4.88,2.85,3.06,0.82,2.85,0.74,0.41,2020.82,Bamboo Airways
108,0.52,3.29,3.62,6.81,3.4,3.98,0.84,3.61,0.12,0.23,2017.64,Bangkok Airways
109,0.0,4.0,4.22,7.67,4.22,4.44,0.89,4.33,0.0,0.0,2016.56,Bassaka Air
110,1.92,2.11,2.71,4.79,3.06,2.96,0.85,2.9,0.21,0.72,2019.16,Batik Air
111,2.0,1.75,2.0,5.25,3.0,3.75,0.75,3.5,0.0,0.75,2016.0,Beijing Capital Airlines
112,0.53,2.43,2.8,5.17,2.83,3.17,0.73,3.03,0.3,0.33,2017.73,Belavia
113,1.33,2.0,1.33,4.0,2.33,2.33,0.67,2.33,0.0,0.33,2018.67,Bhutan Airlines
114,1.68,3.2,3.25,6.27,3.47,3.42,0.81,3.58,0.34,0.66,2018.58,Biman Bangladesh Airlines
115,0.0,2.5,2.67,5.5,2.33,2.83,1.0,3.17,0.83,0.0,2018.5,Binter Canarias
116,0.67,0.67,1.0,1.33,1.0,1.0,0.67,1.33,0.67,0.67,2016.0,Blu-express
117,0.31,1.31,1.85,3.13,1.95,2.18,0.87,2.14,0.25,0.22,2018.91,Blue Air
118,0.09,0.82,1.91,2.09,2.36,2.82,0.64,1.18,0.09,0.09,2016.18,Blue Islands
119,0.29,0.65,1.26,1.39,1.71,2.0,0.94,1.48,0.19,0.26,2017.71,Blue Panorama Airlines
120,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2015.0,Blue1
121,0.0,0.0,1.17,1.0,0.83,1.5,1.0,1.33,0.0,0.0,2022.33,Bluebird Airways
122,0.75,2.85,2.6,5.25,3.0,3.2,0.85,3.3,0.5,0.4,2017.5,Boliviana de Aviacion
123,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,2016.0,BoraJet
124,0.26,0.84,1.89,2.95,2.21,1.95,0.87,2.0,0.26,0.16,2020.76,Boutique Air
125,0.51,0.88,1.79,2.57,2.25,2.4,0.89,2.09,0.56,0.34,2022.43,Breeze Airways
126,1.64,2.29,2.77,4.48,2.7,3.06,0.78,2.56,0.39,0.62,2017.62,British Airways
127,0.8,1.54,2.21,3.52,2.49,2.67,0.72,2.24,0.2,0.38,2017.9,Brussels Airlines
128,0.17,0.83,2.08,3.75,2.17,2.83,0.92,2.42,0.17,0.17,2019.67,Buddha Air
129,0.33,2.42,2.6,4.91,2.58,2.84,0.79,3.12,0.18,0.25,2017.75,Bulgaria Air
130,0.11,2.22,2.22,3.56,3.0,2.33,0.78,2.44,0.11,0.11,2019.22,Buta Airways
131,0.59,1.27,1.92,3.04,2.16,2.33,0.74,2.06,0.36,0.36,2017.91,CSA Czech Airlines
132,0.0,1.0,1.0,1.0,1.5,2.0,1.0,2.0,0.0,0.0,2017.0,Camair-Co
133,0.0,1.0,2.0,4.0,1.5,2.0,1.0,2.5,0.0,0.0,2020.5,Cambodia Airways
134,0.12,0.82,2.17,3.47,1.95,2.1,0.98,2.2,0.08,0.1,2017.48,Cambodia Angkor Air
135,0.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,0.0,0.0,2017.0,Cambodia Bayon Airlines
136,0.0,3.67,3.33,6.67,4.0,3.67,1.0,3.33,0.0,0.0,2017.0,Canadian North
137,0.0,2.0,3.0,5.0,2.67,3.33,1.0,3.67,0.0,0.0,2018.67,Canaryfly
138,0.05,0.1,1.75,1.8,1.4,1.5,0.75,1.35,0.05,0.05,2020.1,Cape Air
139,1.2,1.91,2.05,3.67,2.0,2.33,0.85,2.24,0.42,0.56,2017.98,Caribbean Airlines
140,3.5,3.6,3.85,7.27,3.85,4.05,0.85,3.77,0.42,0.92,2018.1,Cathay Dragon
141,3.53,3.16,3.54,6.44,3.59,3.63,0.83,3.46,0.65,0.92,2017.4,Cathay Pacific Airways
142,0.29,1.29,1.71,2.07,1.86,2.29,1.0,1.57,0.14,0.29,2018.71,Cayman Airways
143,0.3,0.72,1.94,3.17,1.93,2.26,0.91,2.3,0.24,0.25,2018.78,Cebu Pacific
144,0.5,2.0,2.5,4.0,2.5,2.5,1.0,2.5,0.5,0.5,2022.5,CemAir
145,0.29,0.86,2.14,3.29,1.71,2.14,0.57,1.43,0.29,0.29,2018.14,Central Mountain Air
146,2.94,3.14,3.21,6.11,3.35,3.66,0.9,3.6,0.81,0.87,2017.74,China Airlines
147,2.01,2.26,2.32,4.06,2.77,2.63,0.79,2.86,0.49,0.83,2017.16,China Eastern Airlines
148,3.36,3.94,4.2,8.09,4.1,4.58,0.79,4.37,0.35,0.87,2017.37,China Southern Airlines
149,0.5,0.75,2.75,3.25,2.75,2.0,0.75,3.25,0.25,0.5,2018.25,China United Airlines
150,0.05,0.88,3.1,6.29,2.88,3.41,0.85,3.63,0.08,0.05,2018.05,Citilink
151,0.21,2.48,2.76,4.88,2.64,3.18,0.61,2.42,0.12,0.18,2016.58,CityJet
152,0.0,0.25,4.0,8.25,3.75,3.5,1.0,4.5,0.0,0.0,2019.0,Coastal Aviation
153,0.39,2.0,3.33,5.72,3.5,3.67,0.83,3.61,0.44,0.22,2017.0,Cobalt
154,0.13,2.48,2.61,4.87,3.03,3.06,0.68,3.03,0.03,0.06,2017.19,Comair
155,1.42,1.83,1.96,2.8,2.0,2.48,0.89,2.05,0.44,0.78,2018.31,Condor Airlines
156,1.23,1.66,1.84,3.09,2.07,2.31,0.84,2.0,0.41,0.63,2019.39,Copa Airlines
157,0.38,0.88,1.95,3.2,2.1,2.05,0.95,2.38,0.18,0.25,2020.02,Corendon Airlines
158,2.05,2.55,2.85,4.65,2.75,3.25,0.95,2.9,0.8,0.9,2018.75,Corsair
159,0.62,2.33,2.62,4.75,2.85,3.0,0.78,2.72,0.15,0.35,2017.58,Croatia Airlines
160,0.3,1.45,1.58,2.25,1.92,2.02,0.92,1.8,0.15,0.25,2016.35,Cubana Airlines
161,0.2,0.3,1.3,2.6,1.6,2.0,0.9,1.9,0.2,0.2,2019.4,Cyprus Airways
162,0.0,2.5,2.5,5.0,2.5,3.5,0.5,2.5,0.0,0.0,2017.0,Danish Air Transport
163,0.25,1.75,3.5,5.0,3.5,4.0,1.0,3.0,0.0,0.25,2016.0,Darwin Airline
164,1.92,1.92,2.28,3.62,2.46,2.73,0.81,2.25,1.26,0.66,2019.03,Delta Air Lines
165,0.0,0.0,5.0,7.0,3.0,3.0,1.0,5.0,0.0,0.0,2019.0,Dimonim Air
166,2.5,3.2,3.77,6.8,3.57,3.61,0.82,3.86,0.25,0.73,2015.8,Dragonair
167,0.25,4.25,4.0,8.25,4.5,4.75,1.0,3.5,0.0,0.25,2016.0,Druk Air
168,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2016.0,Dynamic International Airways
169,3.44,3.8,3.95,7.66,3.97,4.2,0.83,4.1,1.21,0.89,2017.8,EVA Air
170,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2019.0,EWA Air
171,0.08,0.42,2.42,4.25,2.33,2.5,1.0,3.0,0.08,0.08,2017.0,Eastar Jet
172,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,0.0,2021.5,Eastern Airlines
173,0.16,2.32,2.58,4.05,2.37,3.53,0.37,2.37,0.05,0.16,2016.74,Eastern Airways
174,0.0,1.33,3.0,5.0,2.83,2.83,0.83,3.17,0.0,0.0,2017.33,Easyfly
175,2.45,3.13,3.02,5.45,2.94,3.56,0.9,3.02,0.42,0.73,2018.45,Edelweiss Air
176,1.55,2.25,2.24,3.97,2.59,2.56,0.81,2.51,0.35,0.67,2018.93,Egyptair
177,1.88,2.57,2.46,4.26,2.48,2.89,0.69,2.45,1.01,0.82,2018.23,El Al Israel Airlines
178,0.57,3.0,3.71,7.5,3.64,4.36,1.0,3.86,0.07,0.21,2017.14,Ellinair
179,3.47,2.86,2.92,5.1,3.2,2.94,0.83,2.96,1.75,0.91,2017.76,Emirates
180,0.0,0.0,2.0,3.25,1.75,1.75,1.0,2.0,0.0,0.0,2019.25,Ernest Airlines
181,0.0,3.33,3.67,7.33,4.0,4.0,0.67,4.0,0.0,0.0,2015.0,Estonian Air
182,2.01,2.43,2.31,4.36,2.65,2.86,0.76,2.83,0.39,0.77,2018.38,Ethiopian Airlines
183,2.49,2.22,2.27,3.71,2.5,2.53,0.83,2.37,0.97,0.87,2017.86,Etihad Airways
184,0.47,1.06,1.81,2.79,2.2,2.17,0.75,2.0,0.36,0.32,2018.65,Eurowings
185,1.83,2.0,1.83,2.67,1.67,2.17,1.0,2.5,0.67,1.0,2018.0,Evelop Airlines
186,0.25,0.5,1.5,1.12,2.0,1.75,0.75,1.5,0.25,0.25,2022.12,FLYONE
187,0.0,4.5,5.0,10.0,3.5,5.0,0.0,4.5,0.0,0.0,2017.0,FMI Air
188,0.0,0.5,2.5,2.5,1.0,3.0,0.5,3.0,0.0,0.0,2017.0,Far Eastern Air Transport
189,0.0,0.0,5.0,8.0,4.0,4.0,0.0,5.0,0.0,0.0,2014.0,Felix Airways
190,2.02,2.39,2.62,4.8,2.69,3.14,0.88,2.83,0.26,0.73,2017.61,Fiji Airways
191,1.97,2.31,2.66,4.74,2.84,3.15,0.81,2.78,0.94,0.7,2018.14,Finnair
192,0.13,2.45,3.32,6.61,3.0,3.65,0.77,3.52,0.03,0.06,2017.71,Firefly
193,0.31,0.54,1.71,2.67,1.69,1.95,0.89,1.9,0.29,0.26,2020.37,Flair Airlines
194,0.08,1.38,1.46,2.31,1.46,1.69,0.69,2.15,0.08,0.08,2018.15,Fly540.com
195,0.0,1.5,3.5,6.67,3.83,4.17,1.0,3.83,0.0,0.0,2019.5,FlyArystan
196,0.24,0.92,2.57,4.3,2.48,2.79,0.85,2.65,0.22,0.19,2019.81,FlySafair
197,0.47,0.69,1.62,1.82,1.44,1.56,0.76,1.58,0.29,0.29,2019.76,Flynas
198,0.59,1.77,3.09,5.36,3.18,3.41,1.0,3.0,0.23,0.32,2017.23,Freebird Airlines
199,1.94,1.71,2.0,3.29,2.26,2.32,0.97,2.26,0.98,0.68,2021.03,French Bee
200,0.37,0.59,1.32,1.63,1.31,1.61,0.9,1.41,0.35,0.35,2019.7,Frontier Airlines
201,2.6,3.85,3.97,7.92,4.17,4.44,0.78,4.17,1.21,0.71,2017.49,Garuda Indonesia
202,0.4,0.94,1.54,2.37,1.71,1.66,0.89,1.57,0.37,0.4,2019.11,Georgian Airways
203,1.83,2.39,2.44,5.33,2.56,3.06,0.83,3.28,0.17,0.61,2016.72,Germania Airline
204,0.34,1.76,2.72,5.14,3.0,3.03,0.66,3.03,0.14,0.31,2015.45,Germanwings
205,0.41,0.57,1.24,1.7,1.27,1.34,0.87,1.34,0.37,0.37,2022.1,Go First
